Country,Median age,ISO-code
Afghanistan,27.4,AFG
Algeria,28.1,DZA
Andorra,44.3,AND
Angola,15.9,AGO
Antigua and Barbuda,31.9,ATG
Argentina,31.7,ARG
Armenia,35.1,ARM
Australia,38.7,AUS
Austria,44.0,AUT
Azerbaijan,32.3,AZE
The Bahamas,32.0,BHS
Bahrain,32.3,BHR
Bangladesh,26.7,BGD
Barbados,38.6,BRB
Belarus,40.0,BLR
Belgium,41.4,BEL
Belize,22.7,BLZ
Benin,18.2,BEN
Bhutan,27.6,BTN
Bolivia,24.3,BOL
Bosnia and Herzegovina,42.1,BIH
Botswana,24.5,BWA
Brazil,32.6,BRA
Brunei,30.2,BRN
Bulgaria,42.7,BGR
Burkina Faso,17.3,BFA
Burundi,17.0,BDI
Cape Verde,25.4,CPV
Cambodia,25.3,KHM
Cameroon,18.5,CMR
Canada,42.2,CAN
Central African Rep.,19.7,CAF
Chad,17.8,TCD
Chile,34.4,CHL
China,37.4,CHN
Colombia,30.0,COL
Comoros,19.9,COM
Dem. Rep. Congo,18.6,COD
 Congo,19.7,COG
Costa Rica,31.3,CRI
Ivory Coast,20.9,CIV
Croatia,43.0,HRV
Cuba,41.5,CUB
Cyprus,36.8,CYP
Czech Republic,42.1,CZE
Denmark,42.2,DNK
Djibouti,23.9,DJI
Dominican Rep.,28.1,DOM
Ecuador,27.7,ECU
Egypt,23.9,EGY
El Salvador,27.1,SLV
Equatorial Guinea,19.8,GNQ
Eritrea,19.7,ERI
Estonia,42.7,EST
Eswatini,21.7,SWZ
Ethiopia,17.9,ETH
Fiji,28.9,FJI
Finland,42.5,FIN
France,41.4,FRA
Gabon,18.6,GAB
The Gambia,21.0,GMB
Georgia,38.1,GEO
Germany,47.1,DEU
Ghana,21.1,GHA
Greece,44.5,GRC
Greenland,33.9,GRL
Grenada,31.5,GRD
Guatemala,22.1,GTM
Guinea,20.1,GIN
Guinea,18.9,GIN
Guyana,26.2,GUY
Haiti,23.0,HTI
Honduras,23.0,HND
Hong Kong,44.4,HKG
Hungary,42.3,HUN
Iceland,36.5,ISL
India,28.1,IND
Indonesia,30.2,IDN
Iran,30.3,IRN
Iraq,20.0,IRQ
Ireland,36.8,IRL
Israel,29.9,ISR
Italy,45.5,ITA
Jamaica,26.0,JAM
Japan,47.3,JPN
Jordan,22.5,JOR
Kazakhstan,30.6,KAZ
Kenya,19.7,KEN
Kiribati,24.6,KIR
Kuwait,29.3,KWT
Kyrgyzstan,26.5,KGZ
Laos,23.0,LAO
Latvia,43.6,LVA
Lebanon,30.5,LBN
Lesotho,24.2,LSO
Liberia,17.8,LBR
Libya,28.9,LBY
Liechtenstein,43.2,LIE
Lithuania,43.7,LTU
Luxembourg,39.3,LUX
North Macedonia,37.9,MKD
Madagascar,19.7,MDG
Malawi,16.5,MWI
Malaysia,28.5,MYS
Mali,15.8,MLI
Malta,41.8,MLT
Marshall Islands,22.9,MHL
Mauritania,20.5,MRT
Mauritius,35.3,MUS
Mexico,28.3,MEX
Micronesia,25.1,FSM
Moldova,36.7,MDA
Mongolia,28.3,MNG
Montenegro,40.7,MNE
Morocco,29.3,MAR
Mozambique,17.2,MOZ
Namibia,21.2,NAM
Nepal,24.1,NPL
Netherlands,42.6,NLD
New Zealand,37.9,NZL
Nicaragua,25.7,NIC
Nigeria,18.4,NGA
Niger,15.4,NER
Norway,39.2,NOR
Oman,25.6,OMN
Pakistan,23.8,PAK
Palau,33.4,PLW
Panama,29.2,PAN
Papua New Guinea,23.1,PNG
Paraguay,28.2,PRY
Peru,28.0,PER
Philippines,23.5,PHL
Poland,40.7,POL
Portugal,42.2,PRT
Romania,41.1,ROU
Russia,39.6,RUS
Rwanda,19.0,RWA
Saint Kitts and Nevis,35.0,KNA
Saint Lucia,34.8,LCA
Saint Vincent and the Grenadines,33.6,VCT
Samoa,24.4,WSM
Sao Tome and Principe,18.4,STP
Saudi Arabia,27.5,SAU
Senegal,18.8,SEN
Serbia,42.6,SRB
Seychelles,35.4,SYC
Sierra Leone,19.0,SLE
Singapore,34.6,SGP
Slovakia,40.5,SVK
Slovenia,44.5,SVN
Solomon Islands,22.5,SLB
Somalia,18.1,SOM
South Africa,27.1,ZAF
S. Sudan,17.3,SSD
Spain,42.7,ESP
Sri Lanka,32.8,LKA
Sudan,19.9,SDN
Suriname,29.8,SUR
Sweden,41.2,SWE
Syria,24.3,SYR
Tajikistan,24.5,TJK
Tanzania,17.7,TZA
Thailand,37.7,THA
East Timor,18.9,TLS
Togo,19.8,TGO
Tonga,23.0,TON
Trinidad and Tobago,36.0,TTO
Tunisia,31.6,TUN
Turkey,30.9,TUR
Turkmenistan,27.9,TKM
Uganda,15.8,UGA
Ukraine,40.6,UKR
United Arab Emirates,30.3,ARE
United Kingdom,40.5,GBR
United States of America,38.1,USA
Uruguay,35.0,URY
Uzbekistan,28.6,UZB
Vanuatu,22.0,VUT
Venezuela,28.3,VEN
Vietnam,30.5,VNM
Yemen,19.5,YEM
Zambia,16.8,ZMB
Zimbabwe,20.0,ZWE
